조닝번호,MC명
44,후리가께
44,기타즉석류
45,조미도시락김
45,생김
45,조미도시락김
45,조미전장김
45,김자반
45,미역
46,탕류
46,레토르트
47,스프
47,죽
47,카레짜장
48,복숭아
48,파인애플
48,후르츠칵테일
48,두류
48,옥수수홀
48,피클
48,채소기타
48,참치
48,꽁치
48,고등어
48,골뱅이
48,수산기타
48,돈육통조림
48,계육통조림
48,어포류
48,우동류
48,채소기타(냉장)
48,통조림기타
49,대두유
49,옥수수유
49,참기름
49,들기름
49,올리브유
49,포도씨유
49,카놀라유
49,아보카도오일
49,기타유지류
49,육포
49,견과류
49,어육소세지
50,고추장
50,된장
50,쌈장
50,혼합장
50,진간장
50,양조간장
50,국간장
50,조림간장
50,향신간장
50,기타 장류
51,케찹
51,마요네즈
51,드레싱
51,스파게티소스
51,머스타드소스
51,양념장
51,돈까스/스테이크
51,굴소스
51,동남아소스
51,중화소스
51,기타소스류
51,스파게티
52,웰빙과자 유기농/무농
52,전통과자/화과자류
52,씨리얼
52,수입기타
52,기타스넥
53,부침가루
53,튀김가루
53,빵가루
53,밀가루
53,가공전분
53,홈베이킹재료
53,기타분말
54-1,볶음깨
54-1,물엿
54-1,식초
54-1,식초(희석식)
54-1,액젓
54-1,설탕
54-1,맛술(조미료)
54-1,설탕(PD)
54-1,화학조미료(PD)
54-1,기타조미료
54-2,면세소금
54-2,과세소금
54-2,화학조미료
54-2,천연조미료
54-2,액상조미료
54-2,겨자/와사비
54-2,향신료
54-2,후추
54-2,면세소금(PD)
54-2,과세소금(PD)
55-1,파이
55-1,비스켓
55-1,쿠키
55-1,웨하스
55-1,샌드
55-1,크래커
55-1,감자스낵
55-1,고구마스낵
55-1,쌀스낵
55-1,옥수수스낵
55-1,밀가루스넥
55-1,기타이유식
55-1,유아음료
55-1,기타영유아식
55-2,바초콜렛
55-2,쉘초콜렛
55-2,판초콜렛
55-2,가공초콜렛
55-2,기타초콜렛
55-2,하드캔디
55-2,소프트캔디
55-2,카라멜
55-2,"젤리,푸딩"
55-2,껌
56,원두커피
56,원두커피일회용
56,코코아가공
56,시럽
56,커피용품
56,인스턴트커피믹스
56,라떼
56,캡슐원두커피
56,녹차(단일)
56,기타침출차
56,기타곡류차
56,기타차류
56,분말차
56,액상차
56,보리차
56,커피선물세트
57,땡
57,종합비타민
57,단백질보충용(음료)
57,단백질보충용(파우더)
57,홍삼
57,수면케어
57,꿀.면역
57,다이어트
57,이너뷰티
57,건기식기타
57,장건강
57,간건강
57,눈건강
57,혈행건강
57,뼈관절건강
57,인지개선
57,건강분말
57,건강음료
58,수세미
58,랩
58,백
58,호일
58,고무장갑
58,위생장갑
58,애견간식
58,애견(판매분)
59,치약
59,치솔
59,가글
59,어린이칫약
59,어린이칫솔
59,구강보조용품
59,위생대날개형
59,위생대오버나이트
59,위생대팬티라이너
59,위생대삽입형
59,성인용기저귀
59,성인용기저귀(용품)
59,팬티형대형
59,팬티형특대형
59,팬티형점포
59,밴드
59,마스크/핫팩
59,위생용품 기타
59,면도기
59,쉐이빙폼
60,일반물티슈
60,유아용물티슈
60,휴대용물티슈
60,물티슈기획
60,물티슈 기타
60,롤키친타올
60,뽑아쓰는키친타올
60,키친타올기획
60,키친타올기타
60,섬유탈취제
60,방향제
60,제습제
60,탈취제(냉장고)
60,주거청소용품
60,행주
60,애견용품
60,종이컵류
60,PS컵류
60,접시류
60,도시락류
60,공기류
60,활저류
60,부탄가스
60,바퀴 살충제
60,"파리,모기 살충제"
60,방충제
60,면도날
60,일회용품 기타
60,캠핑가스
60,방향/탈취제
61,식기세척기주방세제
61,세탁조세정제
61,세정제기타
61,변기 세정제
61,배수구/싱크 세정제
61,욕실세정제
61,주방세정제
61,곰팡이세정제
61,다목적 세정제(락스)
61,주방세척용품
62,미용비누
62,훼이셜폼
62,핸드워시
62,훼이셜케어기타
62,샴푸
62,린스
62,트리트먼트
62,헤어스타일링
62,염모제
62,여행용세트
62,바디워시
62,바디로션
62,립케어
62,핸드/풋케어
62,유아바스
63-1,일반섬유유연제
63-1,고농축 섬유유연제
63-1,시트/향기 지속제
63-2,일반주방세제
63-2,고농축주방세제
63-3,분말 세탁세제
63-3,다목적 세탁세제
63-3,액상세탁세제
63-3,울전용 세탁세제
63-3,표백제
63-3,보조 세탁세제
63-3,시트/캡슐 세탁세제
64,3겹화장지
64,프리미엄화장지
64,미용티슈
64,미용티슈기획
64,보습미용티슈
64,휴대용미용티슈
64,냅킨
65,조리기구
65,솥/냄비/찜솥
65,주방(판매분)
65,후라이팬/구이팬
65,도자기/글라스
65,보온보냉/물병
65,저장/밀폐용기
65,주방정리용품
65,주방잡화(판매분)
65,주방잡화(판매분/ED)
65,침장(판매분)
65,욕실세탁수납용품
65,청소/욕실(판매분)
65,욕실화류
65,청소용품
65,청소용품(ED)
65,장바구니/카트
65,차량용품
65,멀티탭
65,일반공구
65,전구
65,알카라인건전지
65,조명
65,선풍기
65,우산
65,이지웨어
65,건전지
65,안전/보수/공구
65,양말
65,화장품/소품
65,화장품(판매분)
65,언더웨어
65,잡화(판매분)
66-1,델리바이애슐리
66-2,TOGO즉석 반찬
66-2,TOGO즉석 조리 행사
20,간편식
55-3,990원
67,직수입
65,이불류
65,타올류
65,수도/샤워용품(수전)
65,전기요/매트
21,한우양지(냉동)
23,돈등심
24,오리가공(실온)
25,양념불고기(냉동)
13,일산 로컬 푸드-수수료(건나물)
11-3,나물기타
8,계란가공(냉장)
9,친환경 채소
1-1,메론
6,고구마(가공)
4,자두
4,복숭아
15,선물세트
48,빙수재료
40,샴페인
60,위생대일반형
59,화장품(샵)
59,생활용품 기타
59,유아로션
59,콘돔
59,렌즈세정액
57,요지류
65,수저/양식기
65,베개류
